AISEQ,AICANT,AIALMACEN
80896,2.000,109
80897,3.000,109
80898,3.000,109
80899,2.000,109
80900,1.000,109
80901,2.000,109
80902,3.000,109
80903,3.000,109
80904,2.000,109
80905,1.000,109
80906,1.000,109
80907,2.000,109
80908,1.000,109
80909,1.000,109
80910,2.000,109
80911,8.000,109
80912,7.000,109
80913,7.000,109
80914,7.000,109
80915,8.000,109
80916,2.000,109
80917,4.000,109
80918,1.000,109
80919,2.000,109
80920,1.000,109
80921,2.000,109
80922,4.000,109
80923,4.000,109
80924,4.000,109
80925,3.000,109
80926,4.000,109
80927,3.000,109
80928,2.000,109
80929,2.000,109
80930,1.000,109
80931,9.000,109
80932,3.000,109
80933,5.000,109
80934,3.000,109
80935,1.000,109
80936,6.000,109
80937,1.000,109
80938,2.000,109
80939,2.000,109
80940,5.000,109
80941,8.000,109
80942,6.000,109
80943,8.000,109
80944,8.000,109
80945,3.000,109
80946,1.000,109
80947,2.000,109
80948,2.000,109
80949,2.000,109
80950,2.000,109
80951,2.000,109
80952,2.000,109
80953,2.000,109
80954,2.000,109
80955,2.000,109
80956,4.000,109
80958,4.000,109
80959,2.000,109
80960,6.000,109
80961,9.000,109
80962,7.000,109
80963,9.000,109
80964,4.000,109
80965,4.000,109
80966,3.000,109
80967,2.000,109
80968,2.000,109
80969,1.000,109
80970,1.000,109
80971,1.000,109
80972,1.000,109
80973,1.000,109
80974,1.000,109
80975,2.000,109
80976,2.000,109
80977,2.000,109
80978,2.000,109
80979,2.000,109
80980,1.000,109
80981,1.000,109
80982,1.000,109
80983,2.000,109
80984,3.000,109
80985,3.000,109
80986,2.000,109
80987,1.000,109
80988,1.000,109
80989,2.000,109
80990,2.000,109
80991,2.000,109
80992,2.000,109
80993,2.000,109
80994,1.000,109
80995,1.000,109
80996,1.000,109
80997,1.000,109
80998,5.000,109
80999,4.000,109
81000,10.000,109
81001,1.000,109
81002,3.000,109
81003,3.000,109
81004,4.000,109
81005,3.000,109
81006,2.000,109
81007,3.000,109
81008,1.000,109
81009,1.000,109
81010,3.000,109
81011,5.000,109
81012,2.000,109
81013,8.000,109
81014,2.000,109
81015,2.000,109
81016,1.000,109
81017,8.000,109
81018,1.000,109
81019,2.000,109
81020,1.000,109
81021,1.000,109
81022,1.000,109
81023,1.000,109
81024,3.000,109
81025,3.000,109
81026,3.000,109
81027,1.000,109
81028,3.000,109
81029,4.000,109
81030,4.000,109
81031,4.000,109
81032,4.000,109
81033,4.000,109
81034,4.000,109
81035,3.000,109
81036,3.000,109
81037,3.000,109
81038,3.000,109
81039,6.000,109
81040,6.000,109
81041,6.000,109
81042,6.000,109
81043,6.000,109
81044,3.000,109
81045,1.000,109
81046,1.000,109
81047,21.000,109
81048,18.000,109
81049,1.000,109
81050,2.000,109
81051,1.000,109
81052,6.000,109
81053,2.000,109
81054,1.000,109
81055,2.000,109
81056,1.000,109
81057,1.000,109
81058,2.000,109
81059,2.000,109
81060,2.000,109
81061,4.000,109
81062,8.000,109
81063,5.000,109
81064,5.000,109
81065,1.000,109
81066,1.000,109
81067,2.000,109
81068,2.000,109
81069,3.000,109
81070,1.000,109
81071,1.000,109
81072,2.000,109
81073,1.000,109
81074,1.000,109
81075,3.000,109
81076,4.000,109
81077,1.000,109
81078,1.000,109
81079,2.000,109
81080,2.000,109
81081,1.000,109
81082,1.000,109
81083,2.000,109
81084,8.000,109
81085,3.000,109
81086,3.000,109
81087,6.000,109
81088,3.000,109
81089,2.000,109
81090,1.000,109
81091,2.000,109
81092,1.000,109
81093,10.000,109
81094,1.000,109
81095,2.000,109
81096,3.000,109
81097,1.000,109
81098,1.000,109
81099,1.000,109
81100,2.000,109
81101,1.000,109
81102,2.000,109
81103,1.000,109
81104,2.000,109
81105,1.000,109
81106,1.000,109
81107,2.000,109
81108,3.000,109
81109,1.000,109
81110,3.000,109
81111,1.000,109
81112,3.000,109
81113,1.000,109
81114,1.000,109
81115,1.000,109
81116,5.000,109
81117,1.000,109
81118,1.000,109
81119,2.000,109
81120,15.000,109
81121,1.000,109
81122,2.000,109
81123,3.000,109
81124,4.000,109
81125,3.000,109
81126,1.000,109
81127,2.000,109
81128,5.000,109
81129,6.000,109
81130,3.000,109
81131,1.000,109
81132,1.000,109
81133,2.000,109
81134,3.000,109
81135,3.000,109
81136,1.000,109
81137,2.000,109
81138,3.000,109
81139,3.000,109
81140,3.000,109
81141,1.000,109
81142,1.000,109
81143,1.000,109
81144,1.000,109
81145,3.000,109
81146,3.000,109
81147,3.000,109
81148,3.000,109
81149,1.000,109
81150,1.000,109
81151,2.000,109
81152,2.000,109
81153,2.000,109
81154,2.000,109
81155,3.000,109
81156,3.000,109
81157,3.000,109
81158,3.000,109
81159,3.000,109
81160,1.000,109
81161,2.000,109
81162,4.000,109
81163,4.000,109
81164,4.000,109
81165,4.000,109
81166,4.000,109
81167,2.000,109
81168,2.000,109
81169,4.000,109
81170,4.000,109
81171,4.000,109
81172,4.000,109
81173,4.000,109
81174,2.000,109
81175,1.000,109
81176,2.000,109
81177,2.000,109
81178,2.000,109
81179,2.000,109
81180,2.000,109
81181,1.000,109
81182,1.000,109
81183,1.000,109
81184,2.000,109
81185,2.000,109
81186,2.000,109
81187,2.000,109
81188,2.000,109
81189,1.000,109
81190,1.000,109
81191,2.000,109
81192,2.000,109
81193,2.000,109
81194,2.000,109
81195,2.000,109
81196,1.000,109
81197,1.000,109
81198,1.000,109
81199,2.000,109
81200,1.000,109
81201,1.000,109
81202,1.000,109
81203,2.000,109
81204,4.000,109
81205,4.000,109
81206,4.000,109
81207,4.000,109
81208,4.000,109
81209,2.000,109
81210,1.000,109
81211,22.000,109
81212,5.000,109
81213,25.000,109
81214,9.000,109
81215,9.000,109
81216,10.000,109
81217,4.000,109
81218,1.000,109
81219,1.000,109
81220,1.000,109
81221,1.000,109
81222,2.000,109
81223,1.000,109
81224,1.000,109
81225,1.000,109
81226,8.000,109
81227,14.000,109
81228,14.000,109
81229,8.000,109
81230,10.000,109
81231,6.000,109
81232,4.000,109
81233,4.000,109
81234,7.000,109
81235,8.000,109
81236,8.000,109
81237,7.000,109
81238,1.000,109
81239,2.000,109
81240,2.000,109
81241,1.000,109
81242,4.000,109
81243,3.000,109
81244,3.000,109
81245,2.000,109
81246,3.000,109
81247,1.000,109
81248,1.000,109
81249,2.000,109
81250,1.000,109
81251,1.000,109
81252,1.000,109
81253,1.000,109
81254,1.000,109
81255,1.000,109
81256,1.000,109
81257,1.000,109
81258,2.000,109
81259,3.000,109
81260,2.000,109
81261,3.000,109
81262,1.000,109
81263,1.000,109
81264,2.000,109
81265,1.000,109
81266,19.000,109
81267,16.000,109
81268,16.000,109
81269,13.000,109
81270,4.000,109
81271,1.000,109
81272,2.000,109
81273,4.000,109
81274,4.000,109
81275,20.000,109
81276,18.000,109
81277,18.000,109
81278,4.000,109
81279,10.000,109
81280,2.000,109
81281,3.000,109
81282,1.000,109
81283,6.000,109
81284,4.000,109
81285,3.000,109
81286,5.000,109
81287,3.000,109
81288,2.000,109
81289,1.000,109
81290,3.000,109
81291,6.000,109
81292,6.000,109
81293,6.000,109
81294,6.000,109
81295,6.000,109
81296,3.000,109
81297,1.000,109
81298,3.000,109
81299,6.000,109
81300,6.000,109
81301,6.000,109
81302,6.000,109
81303,6.000,109
81304,3.000,109
81305,1.000,109
81306,1.000,109
81307,1.000,109
81308,1.000,109
81309,1.000,109
81310,3.000,109
81311,4.000,109
81312,5.000,109
81313,4.000,109
81314,4.000,109
81315,4.000,109
81316,6.000,109
81317,6.000,109
81318,6.000,109
81319,6.000,109
81320,6.000,109
81321,4.000,109
81322,5.000,109
81323,8.000,109
81324,8.000,109
81325,8.000,109
81326,7.000,109
81327,5.000,109
81328,5.000,109
81329,1.000,109
81330,3.000,109
81331,6.000,109
81332,6.000,109
81333,6.000,109
81334,6.000,109
81335,6.000,109
81336,3.000,109
81337,1.000,109
81338,1.000,109
81339,6.000,109
81340,4.000,109
81341,6.000,109
81342,6.000,109
81343,4.000,109
81344,2.000,109
81345,4.000,109
81346,6.000,109
81347,6.000,109
81348,6.000,109
81349,6.000,109
81350,6.000,109
81351,6.000,109
81352,4.000,109
81353,4.000,109
81354,4.000,109
81355,4.000,109
81356,4.000,109
81357,4.000,109
81358,3.000,109
81359,6.000,109
81360,8.000,109
81361,8.000,109
81362,5.000,109
81363,4.000,109
81364,1.000,109
81365,6.000,109
81366,4.000,109
81367,6.000,109
81368,4.000,109
81369,4.000,109
81370,4.000,109
81371,4.000,109
81372,4.000,109
81373,8.000,109
81374,8.000,109
81375,8.000,109
81376,3.000,109
81377,5.000,109
81378,5.000,109
81379,3.000,109
81380,5.000,109
81381,5.000,109
81382,3.000,109
81383,3.000,109
81384,1.000,109
81385,2.000,109
81386,2.000,109
81387,1.000,109
81388,1.000,109
81389,1.000,109
81390,1.000,109
81391,2.000,109
81392,2.000,109
81393,2.000,109
81394,1.000,109
81395,1.000,109
81396,2.000,109
81397,1.000,109
81398,2.000,109
81399,2.000,109
81400,2.000,109
81401,2.000,109
81402,1.000,109
81403,1.000,109
81404,1.000,109
81405,2.000,109
81406,2.000,109
81407,1.000,109
81408,2.000,109
81409,1.000,109
81410,4.000,109
81411,4.000,109
81412,8.000,109
81413,8.000,109
81414,2.000,109
81415,4.000,109
81416,4.000,109
81417,1.000,109
81418,4.000,109
81419,4.000,109
81420,4.000,109
81421,4.000,109
81422,4.000,109
81423,4.000,109
81424,2.000,109
81425,4.000,109
81426,4.000,109
81427,4.000,109
81428,4.000,109
81429,4.000,109
81430,4.000,109
81431,2.000,109
81432,1.000,109
81433,1.000,109
81434,1.000,109
81435,1.000,109
81436,2.000,109
81437,2.000,109
81438,2.000,109
81439,2.000,109
81440,2.000,109
81441,4.000,109
81442,1.000,109
81443,1.000,109
81444,4.000,109
81445,4.000,109
81446,7.000,109
81447,4.000,109
81448,4.000,109
81449,3.000,109
81450,7.000,109
81451,8.000,109
81452,4.000,109
81453,3.000,109
81454,6.000,109
81455,7.000,109
81456,1.000,109
81457,2.000,109
81458,2.000,109
81459,2.000,109
81460,2.000,109
81461,2.000,109
81462,1.000,109
81463,2.000,109
81464,4.000,109
81465,3.000,109
81466,2.000,109
81467,4.000,109
81468,4.000,109
81469,4.000,109
81470,4.000,109
81471,4.000,109
81472,4.000,109
81473,6.000,109
81474,6.000,109
81475,6.000,109
81476,6.000,109
81477,6.000,109
